train dataset: torch.Size([3, 80, 80]) (x791), 7
fs dataset: torch.Size([3, 80, 80]) (x41), 4
num params: 11.2M
epoch 1, train 1.5301|0.4430, val 1.3755|0.5276, 1.5s 1.5s/2.4m
epoch 2, train 0.4523|0.8736, val 1.0023|0.6551, 1.0s 2.7s/2.3m
epoch 3, train 0.1112|0.9715, val 0.7505|0.7426, 1.0s 4.0s/2.2m
epoch 4, train 0.0342|0.9978, val 0.6848|0.7663, 0.9s 5.2s/2.2m
epoch 5, train 0.0363|0.9927, val 0.6861|0.7623, fs 6: 0.1531, 1.8s 7.3s/2.4m
epoch 6, train 0.0154|1.0000, val 0.7830|0.7174, 1.0s 8.6s/2.4m
epoch 7, train 0.0140|1.0000, val 0.7896|0.7015, 1.0s 9.7s/2.3m
epoch 8, train 0.0118|1.0000, val 0.7349|0.7264, 1.0s 10.8s/2.3m
epoch 9, train 0.0164|1.0000, val 0.7278|0.7306, 1.0s 12.0s/2.2m
epoch 10, train 0.0141|1.0000, val 0.7851|0.7223, fs 6: 0.1437, 1.8s 13.9s/2.3m
epoch 11, train 0.0200|1.0000, val 0.7882|0.7142, 1.0s 15.1s/2.3m
epoch 12, train 0.0203|1.0000, val 0.8427|0.7020, 1.0s 16.2s/2.3m
epoch 13, train 0.0113|1.0000, val 0.7494|0.7020, 1.0s 17.4s/2.2m
epoch 14, train 0.0108|1.0000, val 0.7748|0.7061, 1.0s 18.5s/2.2m
epoch 15, train 0.0126|1.0000, val 0.7994|0.7020, fs 6: 0.1375, 1.8s 20.4s/2.3m
epoch 16, train 0.0124|1.0000, val 0.7256|0.7433, 1.0s 21.7s/2.3m
epoch 17, train 0.0122|1.0000, val 0.7704|0.7103, 1.0s 22.9s/2.2m
epoch 18, train 0.0099|1.0000, val 0.7850|0.6937, 1.0s 24.0s/2.2m
epoch 19, train 0.0122|1.0000, val 0.8098|0.7020, 1.0s 25.2s/2.2m
epoch 20, train 0.0111|1.0000, val 0.7208|0.7308, fs 6: 0.1344, 1.8s 27.1s/2.3m
epoch 21, train 0.0157|1.0000, val 0.7804|0.7228, 1.0s 28.4s/2.3m
epoch 22, train 0.0162|1.0000, val 0.7255|0.7269, 1.0s 29.5s/2.2m
epoch 23, train 0.0183|1.0000, val 0.6752|0.7389, 1.0s 30.7s/2.2m
epoch 24, train 0.0136|1.0000, val 0.6988|0.7306, 1.0s 31.9s/2.2m
epoch 25, train 0.0141|1.0000, val 0.7950|0.7140, fs 6: 0.1375, 1.7s 33.8s/2.3m
epoch 26, train 0.0131|1.0000, val 0.7762|0.7181, 1.0s 35.0s/2.2m
epoch 27, train 0.0175|1.0000, val 0.6970|0.7350, 1.0s 36.2s/2.2m
epoch 28, train 0.0114|1.0000, val 0.7391|0.7140, 1.0s 37.4s/2.2m
epoch 29, train 0.0346|0.9938, val 0.7690|0.7303, 1.0s 38.6s/2.2m
epoch 30, train 0.0176|1.0000, val 0.7201|0.7308, fs 6: 0.1344, 1.8s 40.5s/2.3m
epoch 31, train 0.0114|1.0000, val 0.7391|0.7184, 1.0s 41.8s/2.2m
epoch 32, train 0.0109|1.0000, val 0.7352|0.7186, 1.0s 43.0s/2.2m
epoch 33, train 0.0158|1.0000, val 0.7362|0.7308, 1.0s 44.1s/2.2m
epoch 34, train 0.0186|1.0000, val 0.8860|0.6937, 1.0s 45.3s/2.2m
epoch 35, train 0.0110|1.0000, val 0.7990|0.7061, fs 6: 0.1344, 1.7s 47.2s/2.2m
epoch 36, train 0.0114|1.0000, val 0.7593|0.7269, 1.0s 48.5s/2.2m
epoch 37, train 0.0133|1.0000, val 0.7877|0.6978, 1.0s 49.7s/2.2m
epoch 38, train 0.0108|1.0000, val 0.7442|0.7186, 1.0s 50.8s/2.2m
epoch 39, train 0.0113|1.0000, val 0.7755|0.7184, 1.0s 52.0s/2.2m
epoch 40, train 0.0131|1.0000, val 0.7504|0.7311, fs 6: 0.1469, 1.7s 53.9s/2.2m
epoch 41, train 0.0126|1.0000, val 0.7763|0.7061, 1.0s 55.1s/2.2m
epoch 42, train 0.0128|1.0000, val 0.8629|0.6895, 1.0s 56.3s/2.2m
epoch 43, train 0.0152|1.0000, val 0.7482|0.7186, 1.0s 57.5s/2.2m
epoch 44, train 0.0121|1.0000, val 0.7538|0.7101, 1.0s 58.6s/2.2m
epoch 45, train 0.0137|1.0000, val 0.7442|0.7264, fs 6: 0.1344, 1.7s 1.0m/2.2m
epoch 46, train 0.0111|1.0000, val 0.7441|0.7223, 1.0s 1.0m/2.2m
epoch 47, train 0.0128|1.0000, val 0.7046|0.7511, 1.0s 1.0m/2.2m
epoch 48, train 0.0114|1.0000, val 0.7376|0.7264, 1.0s 1.1m/2.2m
epoch 49, train 0.0115|1.0000, val 0.7911|0.6937, 1.0s 1.1m/2.2m
epoch 50, train 0.0202|1.0000, val 0.6956|0.7350, fs 6: 0.1406, 1.8s 1.1m/2.2m
epoch 51, train 0.0127|1.0000, val 0.7384|0.7264, 1.0s 1.1m/2.2m
epoch 52, train 0.0131|1.0000, val 0.7348|0.7223, 1.0s 1.2m/2.2m
epoch 53, train 0.0183|1.0000, val 0.7444|0.7103, 1.0s 1.2m/2.2m
epoch 54, train 0.0160|0.9989, val 0.7429|0.7145, 1.0s 1.2m/2.2m
epoch 55, train 0.0159|1.0000, val 0.7354|0.7228, fs 6: 0.1406, 1.8s 1.2m/2.2m
epoch 56, train 0.0158|1.0000, val 0.8510|0.6937, 1.0s 1.3m/2.2m
epoch 57, train 0.0156|1.0000, val 0.7885|0.7223, 1.0s 1.3m/2.2m
epoch 58, train 0.0122|1.0000, val 0.7917|0.7061, 1.0s 1.3m/2.2m
epoch 59, train 0.0114|1.0000, val 0.8068|0.7059, 1.0s 1.3m/2.2m
epoch 60, train 0.0137|1.0000, val 0.7613|0.7225, fs 6: 0.1281, 1.8s 1.3m/2.2m
epoch 61, train 0.0145|1.0000, val 0.7608|0.7267, 1.0s 1.4m/2.2m
epoch 62, train 0.0131|1.0000, val 0.6974|0.7308, 1.0s 1.4m/2.2m
epoch 63, train 0.0259|0.9938, val 0.8361|0.7056, 1.0s 1.4m/2.2m
epoch 64, train 0.0140|1.0000, val 0.7978|0.7267, 1.0s 1.4m/2.2m
epoch 65, train 0.0130|1.0000, val 0.7524|0.7142, fs 6: 0.1375, 1.7s 1.5m/2.2m
epoch 66, train 0.0104|1.0000, val 0.7591|0.7020, 1.0s 1.5m/2.2m
epoch 67, train 0.0140|1.0000, val 0.8282|0.6854, 1.0s 1.5m/2.2m
epoch 68, train 0.0116|1.0000, val 0.7476|0.7311, 1.0s 1.5m/2.2m
epoch 69, train 0.0173|1.0000, val 0.7585|0.7140, 1.0s 1.5m/2.2m
epoch 70, train 0.0125|1.0000, val 0.7814|0.7061, fs 6: 0.1469, 1.8s 1.6m/2.2m
epoch 71, train 0.0280|0.9938, val 0.7604|0.7267, 1.0s 1.6m/2.2m
epoch 72, train 0.0120|1.0000, val 0.7770|0.7145, 1.0s 1.6m/2.2m
